,phase,IW LL,MMD,PPL,distortion,elbo,kl_prior_post,mean_mean,mean_scale,std_across_x_mean,std_across_x_scale,std_across_z_mean,std_across_z_scale,hyper params,objective,l_rate,dataset,image_or_language,beta_beta,free_bits,mdr_value,l_mmd,decoder,run_name
INFO-VAE l_Rate 0.1 l_MMD 1 dec: CNN.T,test,-101.84837935638427,0.11247670650482178,,67.34091891518122,-105.26017741915545,37.91925869712347,0.18487148015182228,0.03694940532875966,1.3132608510270904,0.008951258798471735,1.334510465211506,0.008604486826571483,"{'objective': 'INFO-VAE', 'l_rate': 0.1, 'dataset': 'bmnist', 'image_or_language': 'image', 'beta_beta': 0.0, 'free_bits': 0, 'mdr_value': 0, 'l_mmd': 1, 'decoder': 'basic_deconv_decoder', 'run_name': '(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.1, l_2_mmd=1.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-05-18:13:17'}",INFO-VAE,0.1,bmnist,image,0.0,0,0,1,basic_deconv_decoder,"(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.1, l_2_mmd=1.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-05-18:13:17"
BETA-VAE beta 2 dec: PixelCNN++,valid,-80.50498704910278,2.467632293701172e-05,,80.8170193056517,-80.81725494771064,0.00023594778252152514,-0.0002783198639768164,0.9970753819127626,0.00011628126829444088,0.0012456791392892977,0.003648253481929438,0.0028695132217924054,"{'objective': 'BETA-VAE', 'l_rate': 0.0, 'dataset': 'bmnist', 'image_or_language': 'image', 'beta_beta': 2.0, 'free_bits': 0, 'mdr_value': 0, 'l_mmd': 0, 'decoder': 'cond_pixel_cnn_pp', 'run_name': '(beta-vae-exp 6 oct) B-VAE[b=2.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-06-10:00:16'}",BETA-VAE,0.0,bmnist,image,2.0,0,0,0,cond_pixel_cnn_pp,(beta-vae-exp 6 oct) B-VAE[b=2.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-06-10:00:16
BETA-VAE beta 2 dec: PixelCNN++,train,,-1.430511474609375e-05,,79.48697065270466,-79.48720560293368,0.00023499562531141587,-0.00027767447588007775,0.9970891027499342,0.00011560797771808746,0.0012384235115764696,0.003648442587793788,0.00286933521280432,"{'objective': 'BETA-VAE', 'l_rate': 0.0, 'dataset': 'bmnist', 'image_or_language': 'image', 'beta_beta': 2.0, 'free_bits': 0, 'mdr_value': 0, 'l_mmd': 0, 'decoder': 'cond_pixel_cnn_pp', 'run_name': '(beta-vae-exp 6 oct) B-VAE[b=2.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-06-10:00:16'}",BETA-VAE,0.0,bmnist,image,2.0,0,0,0,cond_pixel_cnn_pp,(beta-vae-exp 6 oct) B-VAE[b=2.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-06-10:00:16
BETA-VAE beta 5 dec: CNN.T,test,-98.3826735534668,0.001676797866821289,,101.62810873683495,-110.56637283518344,8.938264170779458,-0.007852779978299012,0.4953628476661972,0.7884934438934809,0.12692109740610363,0.7941511839250975,0.28155062357081645,"{'objective': 'BETA-VAE', 'l_rate': 0.0, 'dataset': 'bmnist', 'image_or_language': 'image', 'beta_beta': 5.0, 'free_bits': 0, 'mdr_value': 0, 'l_mmd': 0, 'decoder': 'basic_deconv_decoder', 'run_name': '(beta-vae-exp 6 oct) B-VAE[b=5.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-06-08:38:42'}",BETA-VAE,0.0,bmnist,image,5.0,0,0,0,basic_deconv_decoder,(beta-vae-exp 6 oct) B-VAE[b=5.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-06-08:38:42
BETA-VAE beta 5 dec: CNN.T,valid,-99.50627642822266,0.0012129545211791992,,102.41784523106828,-111.42025119443483,9.002405504637126,-0.0023368730828132113,0.49781658679624147,0.8021448511111585,0.12739984191293957,0.8076753533339198,0.2812544171568714,"{'objective': 'BETA-VAE', 'l_rate': 0.0, 'dataset': 'bmnist', 'image_or_language': 'image', 'beta_beta': 5.0, 'free_bits': 0, 'mdr_value': 0, 'l_mmd': 0, 'decoder': 'basic_deconv_decoder', 'run_name': '(beta-vae-exp 6 oct) B-VAE[b=5.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-06-08:38:42'}",BETA-VAE,0.0,bmnist,image,5.0,0,0,0,basic_deconv_decoder,(beta-vae-exp 6 oct) B-VAE[b=5.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-06-08:38:42
BETA-VAE beta 5 dec: CNN.T,train,,0.0015628337860107422,,101.18444121768103,-110.18444197866923,9.000001080505683,-0.0030831936334469417,0.4997900202298713,0.8042043465787493,0.1282412863867667,0.8105334424606675,0.28186305587553917,"{'objective': 'BETA-VAE', 'l_rate': 0.0, 'dataset': 'bmnist', 'image_or_language': 'image', 'beta_beta': 5.0, 'free_bits': 0, 'mdr_value': 0, 'l_mmd': 0, 'decoder': 'basic_deconv_decoder', 'run_name': '(beta-vae-exp 6 oct) B-VAE[b=5.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-06-08:38:42'}",BETA-VAE,0.0,bmnist,image,5.0,0,0,0,basic_deconv_decoder,(beta-vae-exp 6 oct) B-VAE[b=5.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-06-08:38:42
BETA-VAE beta 5 dec: PixelCNN++,test,-79.70365788650513,-0.00014770030975341797,,80.3855459478837,-80.38559172425089,4.315633196722645e-05,0.001363203219798264,1.0005301719979396,1.2480603351222374e-05,0.00019354401178410443,0.0020683509079574406,0.0011282013272395051,"{'objective': 'BETA-VAE', 'l_rate': 0.0, 'dataset': 'bmnist', 'image_or_language': 'image', 'beta_beta': 5.0, 'free_bits': 0, 'mdr_value': 0, 'l_mmd': 0, 'decoder': 'cond_pixel_cnn_pp', 'run_name': '(beta-vae-exp 6 oct) B-VAE[b=5.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-06-10:00:44'}",BETA-VAE,0.0,bmnist,image,5.0,0,0,0,cond_pixel_cnn_pp,(beta-vae-exp 6 oct) B-VAE[b=5.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-06-10:00:44
BETA-VAE beta 5 dec: PixelCNN++,valid,-80.22817883682251,0.00014448165893554688,,80.66949269741396,-80.66953847378115,4.323396592841578e-05,0.0013631601402347413,1.0005374105670783,1.2411190082390551e-05,0.00019243031963440767,0.002068530891939432,0.0011283948153988281,"{'objective': 'BETA-VAE', 'l_rate': 0.0, 'dataset': 'bmnist', 'image_or_language': 'image', 'beta_beta': 5.0, 'free_bits': 0, 'mdr_value': 0, 'l_mmd': 0, 'decoder': 'cond_pixel_cnn_pp', 'run_name': '(beta-vae-exp 6 oct) B-VAE[b=5.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-06-10:00:44'}",BETA-VAE,0.0,bmnist,image,5.0,0,0,0,cond_pixel_cnn_pp,(beta-vae-exp 6 oct) B-VAE[b=5.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-06-10:00:44
BETA-VAE beta 5 dec: PixelCNN++,train,,2.849102020263672e-05,,78.94917266143253,-78.94921843779971,4.3270190458094504e-05,0.0013631412657001591,1.0005407528499204,1.2338574939684155e-05,0.00019130038472352183,0.0020686144424873925,0.0011284832200726203,"{'objective': 'BETA-VAE', 'l_rate': 0.0, 'dataset': 'bmnist', 'image_or_language': 'image', 'beta_beta': 5.0, 'free_bits': 0, 'mdr_value': 0, 'l_mmd': 0, 'decoder': 'cond_pixel_cnn_pp', 'run_name': '(beta-vae-exp 6 oct) B-VAE[b=5.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-06-10:00:44'}",BETA-VAE,0.0,bmnist,image,5.0,0,0,0,cond_pixel_cnn_pp,(beta-vae-exp 6 oct) B-VAE[b=5.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-06-10:00:44
BETA-VAE beta 10 dec: CNN.T,test,-124.4430394821167,0.0007698535919189453,,138.2081204185003,-142.2974780118918,4.089357572265818,-0.0007030915300755266,0.7308103110216841,0.47043032434922233,0.07230945138991633,0.5793056895461264,0.3005557478983191,"{'objective': 'BETA-VAE', 'l_rate': 0.0, 'dataset': 'bmnist', 'image_or_language': 'image', 'beta_beta': 10.0, 'free_bits': 0, 'mdr_value': 0, 'l_mmd': 0, 'decoder': 'basic_deconv_decoder', 'run_name': '(beta-vae-exp 6 oct) B-VAE[b=10.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-06-08:38:42'}",BETA-VAE,0.0,bmnist,image,10.0,0,0,0,basic_deconv_decoder,(beta-vae-exp 6 oct) B-VAE[b=10.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-06-08:38:42
BETA-VAE beta 10 dec: CNN.T,valid,-123.19716401672363,0.000461578369140625,,138.61387518387806,-142.7183150279371,4.104440305806413,-0.0031947409166789413,0.7324123269394983,0.47286756166928934,0.07264340046463133,0.5849430296994462,0.29983064004137544,"{'objective': 'BETA-VAE', 'l_rate': 0.0, 'dataset': 'bmnist', 'image_or_language': 'image', 'beta_beta': 10.0, 'free_bits': 0, 'mdr_value': 0, 'l_mmd': 0, 'decoder': 'basic_deconv_decoder', 'run_name': '(beta-vae-exp 6 oct) B-VAE[b=10.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-06-08:38:42'}",BETA-VAE,0.0,bmnist,image,10.0,0,0,0,basic_deconv_decoder,(beta-vae-exp 6 oct) B-VAE[b=10.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-06-08:38:42
BETA-VAE beta 10 dec: CNN.T,train,,0.0006462335586547852,,138.2214025512071,-142.33362124704036,4.112218787298178,-0.0013734601133832318,0.732856638901069,0.4743773051539955,0.0723544157222104,0.587972013389363,0.29966547467824445,"{'objective': 'BETA-VAE', 'l_rate': 0.0, 'dataset': 'bmnist', 'image_or_language': 'image', 'beta_beta': 10.0, 'free_bits': 0, 'mdr_value': 0, 'l_mmd': 0, 'decoder': 'basic_deconv_decoder', 'run_name': '(beta-vae-exp 6 oct) B-VAE[b=10.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-06-08:38:42'}",BETA-VAE,0.0,bmnist,image,10.0,0,0,0,basic_deconv_decoder,(beta-vae-exp 6 oct) B-VAE[b=10.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-06-08:38:42
BETA-VAE beta 10 dec: PixelCNN++,test,-79.56072655105591,0.00023758411407470703,,80.39493985719318,-80.39503903932209,9.919147344624412e-05,0.00012113088312709138,1.0016807740247702,1.7430467479140204e-05,0.000246021310471682,0.003296617038335793,0.0015428417872142377,"{'objective': 'BETA-VAE', 'l_rate': 0.0, 'dataset': 'bmnist', 'image_or_language': 'image', 'beta_beta': 10.0, 'free_bits': 0, 'mdr_value': 0, 'l_mmd': 0, 'decoder': 'cond_pixel_cnn_pp', 'run_name': '(beta-vae-exp 6 oct) B-VAE[b=10.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-06-11:39:10'}",BETA-VAE,0.0,bmnist,image,10.0,0,0,0,cond_pixel_cnn_pp,(beta-vae-exp 6 oct) B-VAE[b=10.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-06-11:39:10
BETA-VAE beta 10 dec: PixelCNN++,valid,-79.33538367080689,-2.5033950805664062e-06,,80.60409893567049,-80.6041981177994,9.939276161633102e-05,0.0001210714765909847,1.0016871630390989,1.734999871506618e-05,0.0002447061988162584,0.003296219767366029,0.0015429965960144809,"{'objective': 'BETA-VAE', 'l_rate': 0.0, 'dataset': 'bmnist', 'image_or_language': 'image', 'beta_beta': 10.0, 'free_bits': 0, 'mdr_value': 0, 'l_mmd': 0, 'decoder': 'cond_pixel_cnn_pp', 'run_name': '(beta-vae-exp 6 oct) B-VAE[b=10.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-06-11:39:10'}",BETA-VAE,0.0,bmnist,image,10.0,0,0,0,cond_pixel_cnn_pp,(beta-vae-exp 6 oct) B-VAE[b=10.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-06-11:39:10
BETA-VAE beta 10 dec: PixelCNN++,train,,-5.614757537841797e-05,,79.25106226147898,-79.25116144360788,9.94863465008245e-05,0.00012102494874294452,1.0016903051025117,1.7241846032385133e-05,0.00024324622982696098,0.003296010271238778,0.0015430644150380322,"{'objective': 'BETA-VAE', 'l_rate': 0.0, 'dataset': 'bmnist', 'image_or_language': 'image', 'beta_beta': 10.0, 'free_bits': 0, 'mdr_value': 0, 'l_mmd': 0, 'decoder': 'cond_pixel_cnn_pp', 'run_name': '(beta-vae-exp 6 oct) B-VAE[b=10.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-06-11:39:10'}",BETA-VAE,0.0,bmnist,image,10.0,0,0,0,cond_pixel_cnn_pp,(beta-vae-exp 6 oct) B-VAE[b=10.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-06-11:39:10
